CODIGO,HIJO,NOMBRE,DESCRPCIÓN CORTA,DESCRIPCIÓN LARGA,TAMAÑO,SUBCATEGORÍA,MARCA/FABRICANTE,PRECIO,DESCUENTO %,IMAGEN,ATRIBUTO 1 (ej: color),ATRIBUTO 2 (ej: talla),DESTACADO
protectores020,,Protector de colchon impermeable,,,,,,,,,,,
protectores020-IND,protectores020,PROTECTOR INDIVIDUAL,"Protector de colchon impermeable supreme, repelente al agua hipo alergenico anti acaros, Auto ajustable elastico, no guarda olores","Protector de colchon impermeable supreme, 1.02 cms x 1.92 cmsrepelente al agua hipo alergenico anti acaros, Auto ajustable elastico, no guarda olores",,Protector,SPRING AIR,449,,PROTECTOR DE COLCHON,,,
protectores020-MAT,protectores020,PROTECTOR MATRIMONIAL,"Protector de colchon impermeable supreme, repelente al agua hipo alergenico anti acaros, Auto ajustable elastico, no guarda olores","Protector de colchon impermeable supreme, 1.37 cms x 1.92 cmsrepelente al agua hipo alergenico anti acaros, Auto ajustable elastico, no guarda olores",,Protector,SPRING AIR,499,,PROTECTOR DE COLCHON,,,
protectores020-QS,protectores020,PROTECTOR QUEEN,"Protector de colchon impermeable supreme, repelente al agua hipo alergenico anti acaros, Auto ajustable elastico, no guarda olores","Protector de colchon impermeable supreme, 1.52 cms x 1.92 cmsrepelente al agua hipo alergenico anti acaros, Auto ajustable elastico, no guarda olores",,Protector,SPRING AIR,549,,PROTECTOR DE COLCHON,,,
protectores020-KS,protectores020,PROTECTOR KING SIZE,"Protector de colchon impermeable supreme, repelente al agua hipo alergenico anti acaros, Auto ajustable elastico, no guarda olores","Protector de colchon impermeable supreme, 2.02 cms x 1.92 cmsrepelente al agua hipo alergenico anti acaros, Auto ajustable elastico, no guarda olores",,Protector,SPRING AIR,649,,PROTECTOR DE COLCHON,,,
